Archive_Date,Specialty_HIPE,Specialty_Name,Case_Type,Adult_Child,Age_Profile,Time_Bands,Total,Did
31-01-2019,1302,Paediatric Neurology,Inpatient,Child,0-15,  0-3 Months,3,13MH
31-01-2019,1302,Paediatric Neurology,Inpatient,Child,0-15,  9-12 Months,1,29MH
31-01-2019,1402,Paediatric Neurosurgery,Day Case,Child,0-15,  0-3 Months,1,13MH
31-01-2019,1700,Ophthalmology,Day Case,Child,0-15,  0-3 Months,41,21MH
31-01-2019,1700,Ophthalmology,Day Case,Child,0-15,  3-6 Months,27,6MH
31-01-2019,1700,Ophthalmology,Day Case,Child,0-15,  6-9 Months,23,10MH
31-01-2019,1700,Ophthalmology,Day Case,Child,0-15,  9-12 Months,44,33MH
31-01-2019,1700,Ophthalmology,Day Case,Child,0-15, 12-15 Months,20,26MH
31-01-2019,1700,Ophthalmology,Day Case,Child,0-15, 15-18 Months,5,14MH
31-01-2019,1700,Ophthalmology,Day Case,Child,0-15,18+ Months,1,3MH
31-01-2019,1700,Ophthalmology,Day Case,Child,16-64,  0-3 Months,1,21MH
31-01-2019,1700,Ophthalmology,Day Case,Child,16-64,  3-6 Months,1,14MH
31-01-2019,1700,Ophthalmology,Inpatient,Child,0-15,  0-3 Months,2,31MH
31-01-2019,1700,Ophthalmology,Inpatient,Child,0-15,  6-9 Months,1,35MH
31-01-2019,1700,Ophthalmology,Inpatient,Child,0-15,  9-12 Months,2,19MH
31-01-2019,1800,Orthopaedics,Day Case,Child,0-15,  0-3 Months,46,22MH
31-01-2019,1800,Orthopaedics,Day Case,Child,0-15,  3-6 Months,32,27MH
31-01-2019,1800,Orthopaedics,Day Case,Child,0-15,  6-9 Months,39,18MH
31-01-2019,1800,Orthopaedics,Day Case,Child,0-15,  9-12 Months,26,34MH
31-01-2019,1800,Orthopaedics,Day Case,Child,0-15, 12-15 Months,19,35MH
31-01-2019,1800,Orthopaedics,Day Case,Child,0-15, 15-18 Months,8,26MH
31-01-2019,1800,Orthopaedics,Day Case,Child,0-15,18+ Months,44,16MH
31-01-2019,1800,Orthopaedics,Day Case,Child,16-64,  0-3 Months,8,24MH
31-01-2019,1800,Orthopaedics,Day Case,Child,16-64,  3-6 Months,2,36MH
31-01-2019,1800,Orthopaedics,Day Case,Child,16-64,  6-9 Months,7,34MH
31-01-2019,1800,Orthopaedics,Day Case,Child,16-64,  9-12 Months,5,27MH
31-01-2019,1800,Orthopaedics,Day Case,Child,16-64, 12-15 Months,3,29MH
31-01-2019,1800,Orthopaedics,Day Case,Child,16-64, 15-18 Months,2,16MH
31-01-2019,1800,Orthopaedics,Day Case,Child,16-64,18+ Months,14,35MH
31-01-2019,1800,Orthopaedics,Inpatient,Child,0-15,  0-3 Months,62,34MH
31-01-2019,1800,Orthopaedics,Inpatient,Child,0-15,  3-6 Months,47,4MH
31-01-2019,1800,Orthopaedics,Inpatient,Child,0-15,  6-9 Months,25,13MH
31-01-2019,1800,Orthopaedics,Inpatient,Child,0-15,  9-12 Months,40,24MH
31-01-2019,1800,Orthopaedics,Inpatient,Child,0-15, 12-15 Months,32,35MH
31-01-2019,1800,Orthopaedics,Inpatient,Child,0-15, 15-18 Months,23,14MH
31-01-2019,1800,Orthopaedics,Inpatient,Child,0-15,18+ Months,47,18MH
31-01-2019,1800,Orthopaedics,Inpatient,Child,16-64,  0-3 Months,6,13MH
31-01-2019,1800,Orthopaedics,Inpatient,Child,16-64,  3-6 Months,6,20MH
31-01-2019,1800,Orthopaedics,Inpatient,Child,16-64,  6-9 Months,2,19MH
31-01-2019,1800,Orthopaedics,Inpatient,Child,16-64,  9-12 Months,3,32MH
31-01-2019,1800,Orthopaedics,Inpatient,Child,16-64, 12-15 Months,4,5MH
31-01-2019,1800,Orthopaedics,Inpatient,Child,16-64, 15-18 Months,2,25MH
31-01-2019,1800,Orthopaedics,Inpatient,Child,16-64,18+ Months,7,5MH
31-01-2019,1900,Paediatrics,Day Case,Child,0-15,  0-3 Months,38,32MH
31-01-2019,1900,Paediatrics,Day Case,Child,0-15,  3-6 Months,24,17MH
31-01-2019,1900,Paediatrics,Day Case,Child,0-15,  6-9 Months,26,9MH
31-01-2019,1900,Paediatrics,Day Case,Child,0-15,  9-12 Months,25,13MH
31-01-2019,1900,Paediatrics,Day Case,Child,0-15, 12-15 Months,34,8MH
31-01-2019,1900,Paediatrics,Day Case,Child,0-15, 15-18 Months,31,18MH
31-01-2019,1900,Paediatrics,Day Case,Child,0-15,18+ Months,77,4MH
31-01-2019,1900,Paediatrics,Day Case,Child,16-64,  0-3 Months,2,8MH
31-01-2019,1900,Paediatrics,Day Case,Child,16-64,  3-6 Months,2,28MH
31-01-2019,1900,Paediatrics,Day Case,Child,16-64,  9-12 Months,4,12MH
31-01-2019,1900,Paediatrics,Day Case,Child,16-64, 15-18 Months,5,8MH
31-01-2019,1900,Paediatrics,Day Case,Child,16-64,18+ Months,12,18MH
31-01-2019,1900,Paediatrics,Inpatient,Child,0-15,  0-3 Months,7,17MH
31-01-2019,1900,Paediatrics,Inpatient,Child,0-15,  3-6 Months,2,35MH
31-01-2019,1900,Paediatrics,Inpatient,Child,0-15,  9-12 Months,5,12MH
31-01-2019,1900,Paediatrics,Inpatient,Child,0-15,18+ Months,4,22MH
31-01-2019,1900,Paediatrics,Inpatient,Child,16-64,  9-12 Months,1,18MH
31-01-2019,1902,Paed Cardiology,Day Case,Child,0-15,  0-3 Months,55,23MH
31-01-2019,1902,Paed Cardiology,Day Case,Child,0-15,  3-6 Months,39,7MH
31-01-2019,1902,Paed Cardiology,Day Case,Child,0-15,  6-9 Months,43,1MH
31-01-2019,1902,Paed Cardiology,Day Case,Child,0-15,  9-12 Months,26,36MH
31-01-2019,1902,Paed Cardiology,Day Case,Child,0-15, 12-15 Months,15,12MH
31-01-2019,1902,Paed Cardiology,Day Case,Child,0-15, 15-18 Months,12,27MH
31-01-2019,1902,Paed Cardiology,Day Case,Child,0-15,18+ Months,13,5MH
31-01-2019,1902,Paed Cardiology,Day Case,Child,16-64,  0-3 Months,2,3MH
31-01-2019,1902,Paed Cardiology,Day Case,Child,16-64,  3-6 Months,8,36MH
31-01-2019,1902,Paed Cardiology,Day Case,Child,16-64,  6-9 Months,4,20MH
31-01-2019,1902,Paed Cardiology,Day Case,Child,16-64,  9-12 Months,8,28MH
31-01-2019,1902,Paed Cardiology,Day Case,Child,16-64, 15-18 Months,1,28MH
31-01-2019,1902,Paed Cardiology,Day Case,Child,16-64,18+ Months,1,33MH
31-01-2019,1902,Paed Cardiology,Inpatient,Child,0-15,  0-3 Months,2,4MH
31-01-2019,1902,Paed Cardiology,Inpatient,Child,0-15, 15-18 Months,2,27MH
31-01-2019,1902,Paed Cardiology,Inpatient,Child,16-64,  9-12 Months,1,35MH
31-01-2019,1905,Paed Endocrinology,Day Case,Child,0-15,  6-9 Months,1,12MH
31-01-2019,1905,Paed Endocrinology,Inpatient,Child,0-15,18+ Months,1,30MH
31-01-2019,1905,Paed Endocrinology,Inpatient,Child,16-64,  0-3 Months,1,23MH
31-01-2019,1906,Paed Gastro-Enterol,Day Case,Child,0-15,  0-3 Months,3,17MH
31-01-2019,1906,Paed Gastro-Enterol,Day Case,Child,0-15,  3-6 Months,1,3MH
31-01-2019,1906,Paed Gastro-Enterol,Day Case,Child,0-15,  9-12 Months,2,35MH
31-01-2019,1906,Paed Gastro-Enterol,Day Case,Child,16-64,18+ Months,1,32MH
31-01-2019,1906,Paed Gastro-Enterol,Inpatient,Child,0-15,  0-3 Months,2,7MH
31-01-2019,1907,Paed Haematology,Day Case,Child,0-15,  0-3 Months,1,7MH
31-01-2019,1907,Paed Haematology,Inpatient,Child,0-15,  0-3 Months,1,11MH
31-01-2019,1909,Paediatric Infectious Diseases,Day Case,Child,0-15,  0-3 Months,1,5MH
31-01-2019,1910,Paed Metabolic Medicine,Inpatient,Child,0-15,  0-3 Months,3,11MH
31-01-2019,1910,Paed Metabolic Medicine,Inpatient,Child,0-15,  6-9 Months,3,23MH
31-01-2019,1910,Paed Metabolic Medicine,Inpatient,Child,0-15,  9-12 Months,1,16MH
31-01-2019,1911,Paed Nephrology,Day Case,Child,0-15,  0-3 Months,2,28MH
31-01-2019,1911,Paed Nephrology,Day Case,Child,0-15,  3-6 Months,1,27MH
31-01-2019,1911,Paed Nephrology,Inpatient,Child,0-15,  0-3 Months,1,23MH
31-01-2019,1911,Paed Nephrology,Inpatient,Child,0-15,  3-6 Months,2,10MH
31-01-2019,1912,Paediatric Respiratory Medicine,Day Case,Child,0-15,  0-3 Months,2,8MH
31-01-2019,1912,Paediatric Respiratory Medicine,Day Case,Child,0-15,  3-6 Months,2,7MH
31-01-2019,1912,Paediatric Respiratory Medicine,Inpatient,Child,0-15,  0-3 Months,31,34MH
31-01-2019,1912,Paediatric Respiratory Medicine,Inpatient,Child,0-15,  3-6 Months,34,21MH
31-01-2019,1912,Paediatric Respiratory Medicine,Inpatient,Child,0-15,  6-9 Months,32,31MH
31-01-2019,1912,Paediatric Respiratory Medicine,Inpatient,Child,0-15,  9-12 Months,39,15MH
31-01-2019,1912,Paediatric Respiratory Medicine,Inpatient,Child,0-15, 12-15 Months,20,7MH
31-01-2019,1912,Paediatric Respiratory Medicine,Inpatient,Child,0-15, 15-18 Months,4,10MH
31-01-2019,1912,Paediatric Respiratory Medicine,Inpatient,Child,16-64,  0-3 Months,1,19MH
31-01-2019,1912,Paediatric Respiratory Medicine,Inpatient,Child,16-64,  3-6 Months,3,5MH
31-01-2019,1912,Paediatric Respiratory Medicine,Inpatient,Child,16-64,  6-9 Months,2,11MH
31-01-2019,1912,Paediatric Respiratory Medicine,Inpatient,Child,16-64,  9-12 Months,2,23MH
31-01-2019,1912,Paediatric Respiratory Medicine,Inpatient,Child,16-64, 12-15 Months,1,12MH
31-01-2019,1912,Paediatric Respiratory Medicine,Inpatient,Child,16-64, 15-18 Months,1,1MH
31-01-2019,1915,Paediatric Dermatology,Day Case,Child,0-15,  6-9 Months,1,17MH
31-01-2019,1915,Paediatric Dermatology,Inpatient,Child,0-15,  0-3 Months,1,30MH
31-01-2019,2000,Plastic Surgery,Day Case,Child,0-15,  0-3 Months,39,25MH
31-01-2019,2000,Plastic Surgery,Day Case,Child,0-15,  3-6 Months,14,15MH
31-01-2019,2000,Plastic Surgery,Day Case,Child,0-15,  6-9 Months,16,16MH
31-01-2019,2000,Plastic Surgery,Day Case,Child,0-15,  9-12 Months,5,30MH
31-01-2019,2000,Plastic Surgery,Day Case,Child,0-15, 12-15 Months,2,13MH
31-01-2019,2000,Plastic Surgery,Day Case,Child,0-15, 15-18 Months,2,17MH
31-01-2019,2000,Plastic Surgery,Day Case,Child,0-15,18+ Months,7,15MH
31-01-2019,2000,Plastic Surgery,Day Case,Child,16-64,  3-6 Months,1,28MH
31-01-2019,2000,Plastic Surgery,Day Case,Child,16-64,  6-9 Months,1,36MH
31-01-2019,2000,Plastic Surgery,Day Case,Child,16-64, 15-18 Months,2,36MH
31-01-2019,2000,Plastic Surgery,Day Case,Child,16-64,18+ Months,2,30MH
31-01-2019,2000,Plastic Surgery,Inpatient,Child,0-15,  0-3 Months,5,20MH
31-01-2019,2000,Plastic Surgery,Inpatient,Child,0-15,  3-6 Months,4,10MH
31-01-2019,2000,Plastic Surgery,Inpatient,Child,0-15,  6-9 Months,1,22MH
31-01-2019,2000,Plastic Surgery,Inpatient,Child,0-15,  9-12 Months,1,25MH
31-01-2019,2000,Plastic Surgery,Inpatient,Child,0-15, 12-15 Months,1,16MH
31-01-2019,2003,Maxillo-Facial,Day Case,Child,0-15,  0-3 Months,4,13MH
31-01-2019,2003,Maxillo-Facial,Day Case,Child,0-15,  3-6 Months,3,3MH
31-01-2019,2003,Maxillo-Facial,Day Case,Child,0-15,  6-9 Months,1,22MH
31-01-2019,2003,Maxillo-Facial,Day Case,Child,0-15, 12-15 Months,1,24MH
31-01-2019,2003,Maxillo-Facial,Inpatient,Child,0-15,  0-3 Months,4,17MH
31-01-2019,2003,Maxillo-Facial,Inpatient,Child,0-15,  9-12 Months,1,22MH
31-01-2019,2003,Maxillo-Facial,Inpatient,Child,0-15, 15-18 Months,1,33MH
31-01-2019,2200,Radiology,Day Case,Child,0-15,  0-3 Months,6,18MH
31-01-2019,2200,Radiology,Day Case,Child,0-15,  3-6 Months,6,14MH
31-01-2019,2200,Radiology,Day Case,Child,0-15,  6-9 Months,1,10MH
31-01-2019,2200,Radiology,Day Case,Child,0-15,  9-12 Months,3,20MH
31-01-2019,2200,Radiology,Day Case,Child,0-15, 15-18 Months,4,22MH
31-01-2019,2200,Radiology,Day Case,Child,0-15,18+ Months,1,17MH
31-01-2019,2400,Respiratory Medicine,Day Case,Child,0-15,  0-3 Months,6,15MH
31-01-2019,2400,Respiratory Medicine,Day Case,Child,0-15,  3-6 Months,1,31MH
31-01-2019,2400,Respiratory Medicine,Day Case,Child,0-15,  6-9 Months,1,35MH
31-01-2019,2400,Respiratory Medicine,Day Case,Child,0-15, 12-15 Months,1,21MH
31-01-2019,2400,Respiratory Medicine,Day Case,Child,0-15, 15-18 Months,1,2MH
31-01-2019,2400,Respiratory Medicine,Day Case,Child,16-64,  0-3 Months,1,27MH
31-01-2019,2400,Respiratory Medicine,Inpatient,Child,0-15,  0-3 Months,50,3MH
31-01-2019,2400,Respiratory Medicine,Inpatient,Child,0-15,  3-6 Months,44,26MH
31-01-2019,2400,Respiratory Medicine,Inpatient,Child,0-15,  6-9 Months,24,15MH
31-01-2019,2400,Respiratory Medicine,Inpatient,Child,0-15,  9-12 Months,29,11MH
31-01-2019,2400,Respiratory Medicine,Inpatient,Child,0-15, 12-15 Months,24,35MH
31-01-2019,2400,Respiratory Medicine,Inpatient,Child,0-15, 15-18 Months,15,7MH
31-01-2019,2400,Respiratory Medicine,Inpatient,Child,0-15,18+ Months,18,8MH
31-01-2019,2400,Respiratory Medicine,Inpatient,Child,16-64,  0-3 Months,1,5MH
31-01-2019,2400,Respiratory Medicine,Inpatient,Child,16-64,  3-6 Months,1,33MH
31-01-2019,2400,Respiratory Medicine,Inpatient,Child,16-64,  6-9 Months,2,27MH
31-01-2019,2400,Respiratory Medicine,Inpatient,Child,16-64,  9-12 Months,1,3MH
31-01-2019,2400,Respiratory Medicine,Inpatient,Child,16-64, 12-15 Months,1,12MH
31-01-2019,2500,Rheumatology,Day Case,Child,0-15,  0-3 Months,15,36MH
31-01-2019,2500,Rheumatology,Day Case,Child,0-15,  3-6 Months,7,6MH
31-01-2019,2500,Rheumatology,Day Case,Child,0-15,  6-9 Months,9,16MH
31-01-2019,2500,Rheumatology,Day Case,Child,0-15,  9-12 Months,6,31MH
31-01-2019,2500,Rheumatology,Day Case,Child,0-15, 12-15 Months,6,15MH
31-01-2019,2500,Rheumatology,Day Case,Child,0-15, 15-18 Months,5,2MH
31-01-2019,2500,Rheumatology,Day Case,Child,0-15,18+ Months,6,29MH
31-01-2019,2500,Rheumatology,Day Case,Child,16-64,  0-3 Months,4,15MH
31-01-2019,2500,Rheumatology,Day Case,Child,16-64,  3-6 Months,3,34MH
31-01-2019,2500,Rheumatology,Day Case,Child,16-64,  6-9 Months,1,35MH
31-01-2019,2500,Rheumatology,Day Case,Child,16-64,  9-12 Months,2,1MH
31-01-2019,2500,Rheumatology,Day Case,Child,16-64, 12-15 Months,1,10MH
31-01-2019,2500,Rheumatology,Day Case,Child,16-64,18+ Months,1,8MH
31-01-2019,2500,Rheumatology,Inpatient,Child,0-15, 12-15 Months,1,9MH
31-01-2019,2500,Rheumatology,Inpatient,Child,0-15, 15-18 Months,2,13MH
31-01-2019,2500,Rheumatology,Inpatient,Child,16-64,  3-6 Months,1,13MH
31-01-2019,2600,General Surgery,Day Case,Child,0-15,  0-3 Months,28,25MH
31-01-2019,2600,General Surgery,Day Case,Child,0-15,  3-6 Months,21,7MH
31-01-2019,2600,General Surgery,Day Case,Child,0-15,  6-9 Months,12,19MH
31-01-2019,2600,General Surgery,Day Case,Child,0-15,  9-12 Months,7,30MH
31-01-2019,2600,General Surgery,Day Case,Child,0-15, 12-15 Months,9,14MH
31-01-2019,2600,General Surgery,Day Case,Child,0-15, 15-18 Months,1,28MH
31-01-2019,2600,General Surgery,Day Case,Child,0-15,18+ Months,1,24MH
31-01-2019,2600,General Surgery,Inpatient,Child,0-15,  0-3 Months,9,23MH
31-01-2019,2600,General Surgery,Inpatient,Child,0-15,  3-6 Months,6,8MH
31-01-2019,2600,General Surgery,Inpatient,Child,0-15,  6-9 Months,2,33MH
31-01-2019,2600,General Surgery,Inpatient,Child,0-15,  9-12 Months,2,17MH
31-01-2019,2600,General Surgery,Inpatient,Child,0-15,18+ Months,1,31MH
31-01-2019,2600,General Surgery,Inpatient,Child,16-64,  9-12 Months,1,17MH
31-01-2019,2600,General Surgery,Inpatient,Child,16-64,18+ Months,1,31MH
31-01-2019,5000,General Medicine,Day Case,Child,0-15,  3-6 Months,1,15MH
31-01-2019,5000,General Medicine,Day Case,Child,16-64,  0-3 Months,1,11MH
31-01-2019,5000,General Medicine,Inpatient,Child,0-15,  3-6 Months,1,33MH
31-01-2019,5000,General Medicine,Inpatient,Child,16-64,  3-6 Months,1,13MH
31-01-2019,7000,Dental Surgery,Day Case,Child,0-15,  0-3 Months,30,9MH
31-01-2019,7000,Dental Surgery,Day Case,Child,0-15,  3-6 Months,38,23MH
31-01-2019,7000,Dental Surgery,Day Case,Child,0-15,  6-9 Months,30,24MH
31-01-2019,7000,Dental Surgery,Day Case,Child,0-15,  9-12 Months,16,19MH
31-01-2019,7000,Dental Surgery,Day Case,Child,0-15, 12-15 Months,20,11MH
31-01-2019,7000,Dental Surgery,Day Case,Child,0-15, 15-18 Months,14,25MH
31-01-2019,7000,Dental Surgery,Day Case,Child,0-15,18+ Months,16,13MH
31-01-2019,7000,Dental Surgery,Day Case,Child,16-64,  0-3 Months,2,20MH
31-01-2019,7000,Dental Surgery,Day Case,Child,16-64,  3-6 Months,1,1MH
31-01-2019,7000,Dental Surgery,Day Case,Child,16-64, 15-18 Months,1,29MH
31-01-2019,7000,Dental Surgery,Day Case,Child,16-64,18+ Months,3,23MH
31-01-2019,7000,Dental Surgery,Inpatient,Child,0-15,  0-3 Months,3,25MH
31-01-2019,7000,Dental Surgery,Inpatient,Child,0-15,  3-6 Months,2,27MH
31-01-2019,7000,Dental Surgery,Inpatient,Child,0-15,  6-9 Months,1,19MH
31-01-2019,7000,Dental Surgery,Inpatient,Child,0-15,  9-12 Months,1,1MH
31-01-2019,7000,Dental Surgery,Inpatient,Child,0-15, 12-15 Months,1,14MH
31-01-2019,7000,Dental Surgery,Inpatient,Child,0-15, 15-18 Months,2,32MH
31-01-2019,7000,Dental Surgery,Inpatient,Child,0-15,18+ Months,3,13MH
31-01-2019,7200,Paediatric Surgery,Day Case,Child,0-15,  0-3 Months,20,10MH
31-01-2019,7200,Paediatric Surgery,Day Case,Child,0-15,  3-6 Months,9,30MH
31-01-2019,7200,Paediatric Surgery,Day Case,Child,0-15,  6-9 Months,3,32MH
31-01-2019,7200,Paediatric Surgery,Day Case,Child,0-15,  9-12 Months,1,10MH
31-01-2019,7200,Paediatric Surgery,Day Case,Child,16-64,  0-3 Months,2,20MH
31-01-2019,7200,Paediatric Surgery,Inpatient,Child,0-15,  0-3 Months,2,22MH
31-01-2019,7200,Paediatric Surgery,Inpatient,Child,0-15,  3-6 Months,1,2MH
31-01-2019,7200,Paediatric Surgery,Inpatient,Child,0-15,  9-12 Months,1,25MH
31-01-2019,7600,Cardio-Thoracic Surgery,Inpatient,Child,0-15,  0-3 Months,23,22MH
31-01-2019,7600,Cardio-Thoracic Surgery,Inpatient,Child,0-15,  3-6 Months,19,17MH
31-01-2019,7600,Cardio-Thoracic Surgery,Inpatient,Child,0-15,  6-9 Months,3,24MH
31-01-2019,7600,Cardio-Thoracic Surgery,Inpatient,Child,0-15,  9-12 Months,2,26MH
31-01-2019,7800,Urology,Day Case,Child,0-15,  0-3 Months,14,26MH
31-01-2019,7800,Urology,Day Case,Child,0-15,  3-6 Months,10,29MH
31-01-2019,7800,Urology,Day Case,Child,0-15,  6-9 Months,16,3MH
31-01-2019,7800,Urology,Day Case,Child,0-15,  9-12 Months,8,22MH
31-01-2019,7800,Urology,Day Case,Child,0-15, 12-15 Months,9,2MH
31-01-2019,7800,Urology,Day Case,Child,0-15, 15-18 Months,3,27MH
31-01-2019,7800,Urology,Day Case,Child,0-15,18+ Months,14,5MH
31-01-2019,7800,Urology,Day Case,Child,16-64,  3-6 Months,1,6MH
31-01-2019,7800,Urology,Inpatient,Child,0-15,  0-3 Months,3,6MH
31-01-2019,7800,Urology,Inpatient,Child,0-15,  3-6 Months,5,27MH
31-01-2019,7800,Urology,Inpatient,Child,0-15,  6-9 Months,7,13MH
31-01-2019,7800,Urology,Inpatient,Child,0-15,  9-12 Months,3,30MH
31-01-2019,7800,Urology,Inpatient,Child,0-15, 12-15 Months,5,7MH
31-01-2019,7800,Urology,Inpatient,Child,0-15, 15-18 Months,2,17MH
31-01-2019,7800,Urology,Inpatient,Child,0-15,18+ Months,4,17MH
31-01-2019,7803,Paediatric Urology,Day Case,Child,0-15,  0-3 Months,36,32MH
31-01-2019,7803,Paediatric Urology,Day Case,Child,0-15,  3-6 Months,13,23MH
31-01-2019,7803,Paediatric Urology,Day Case,Child,0-15,  6-9 Months,18,1MH
31-01-2019,7803,Paediatric Urology,Day Case,Child,0-15,  9-12 Months,16,13MH
31-01-2019,7803,Paediatric Urology,Day Case,Child,0-15, 12-15 Months,7,16MH
31-01-2019,7803,Paediatric Urology,Day Case,Child,0-15, 15-18 Months,4,21MH
31-01-2019,7803,Paediatric Urology,Day Case,Child,0-15,18+ Months,3,15MH
31-01-2019,7803,Paediatric Urology,Inpatient,Child,0-15,  0-3 Months,3,6MH
31-01-2019,7803,Paediatric Urology,Inpatient,Child,0-15,  3-6 Months,1,36MH
31-01-2019,7803,Paediatric Urology,Inpatient,Child,0-15,  6-9 Months,8,8MH
31-01-2019,7803,Paediatric Urology,Inpatient,Child,0-15,  9-12 Months,6,12MH
31-01-2019,7803,Paediatric Urology,Inpatient,Child,0-15, 15-18 Months,1,33MH
31-01-2019,7803,Paediatric Urology,Inpatient,Child,0-15,18+ Months,2,3MH
31-01-2019,8800,Immunology,Day Case,Child,0-15,  0-3 Months,24,13MH
31-01-2019,8800,Immunology,Day Case,Child,0-15,  3-6 Months,19,8MH
31-01-2019,8800,Immunology,Day Case,Child,0-15,  6-9 Months,1,19MH
31-01-2019,8800,Immunology,Day Case,Child,0-15,  9-12 Months,24,34MH
31-01-2019,8800,Immunology,Day Case,Child,0-15, 12-15 Months,8,15MH
31-01-2019,8800,Immunology,Day Case,Child,0-15, 15-18 Months,20,32MH
31-01-2019,8800,Immunology,Day Case,Child,0-15,18+ Months,29,19MH
31-01-2019,8800,Immunology,Day Case,Child,16-64,  3-6 Months,1,13MH
31-01-2019,8800,Immunology,Day Case,Child,16-64,  6-9 Months,1,27MH
31-01-2019,8800,Immunology,Day Case,Child,16-64,  9-12 Months,1,35MH
31-01-2019,8800,Immunology,Day Case,Child,16-64, 15-18 Months,1,25MH
31-01-2019,8800,Immunology,Day Case,Child,16-64,18+ Months,2,17MH
31-01-2019,0,Small Volume Specialities,Day Case,Adult,65+,  0-3 Months,1,1MH
31-01-2019,2600,General Surgery,Day Case,Adult,16-64,  0-3 Months,46,4MH
31-01-2019,2600,General Surgery,Day Case,Adult,16-64,  3-6 Months,28,2MH
31-01-2019,2600,General Surgery,Day Case,Adult,16-64,  6-9 Months,8,13MH
31-01-2019,2600,General Surgery,Day Case,Adult,16-64,  9-12 Months,9,4MH
31-01-2019,2600,General Surgery,Day Case,Adult,16-64, 12-15 Months,4,19MH
31-01-2019,2600,General Surgery,Day Case,Adult,16-64, 15-18 Months,1,5MH
31-01-2019,2600,General Surgery,Day Case,Adult,16-64,18+ Months,1,32MH
