Archive_Date,Specialty_HIPE,Speciality,Adult_Child,Age_Profile,Time_Bands,Total,Did
31-01-2021,1912,Paediatric Respiratory Medicine,Child,0-15, 3-6 Months,97,28MH
31-01-2021,1912,Paediatric Respiratory Medicine,Child,0-15,12-15 Months,127,12MH
31-01-2021,1912,Paediatric Respiratory Medicine,Child,16-64, 9-12 Months,2,8MH
31-01-2021,1915,Paediatric Dermatology,Child,0-15,18 Months +,1434,18MH
31-01-2021,1915,Paediatric Dermatology,Child,16-64, 0-3 Months,19,17MH
31-01-2021,1915,Paediatric Dermatology,Child,16-64,15-18 Months,26,35MH
31-01-2021,1915,Paediatric Dermatology,Child,16-64,18 Months +,264,12MH
31-01-2021,1916,Developmental Paediatrics,Child,0-15, 9-12 Months,53,22MH
31-01-2021,1916,Developmental Paediatrics,Child,16-64,18 Months +,13,18MH
31-01-2021,2000,Plastic Surgery,Child,0-15, 0-3 Months,188,23MH
31-01-2021,2000,Plastic Surgery,Child,0-15,18 Months +,185,7MH
31-01-2021,2000,Plastic Surgery,Child,16-64, 0-3 Months,3,1MH
31-01-2021,0,Small Volume Specialities,Child,0-15, 6-9 Months,2,36MH
31-01-2021,601,Paediatric ENT,Child,0-15, 9-12 Months,444,12MH
31-01-2021,601,Paediatric ENT,Child,16-64,18 Months +,91,27MH
31-01-2021,1302,Paediatric Neurology,Child,16-64, 9-12 Months,2,5MH
31-01-2021,1402,Paediatric Neurosurgery,Child,0-15, 0-3 Months,21,3MH
31-01-2021,1402,Paediatric Neurosurgery,Child,0-15, 6-9 Months,4,36MH
31-01-2021,1402,Paediatric Neurosurgery,Child,0-15,15-18 Months,3,20MH
31-01-2021,1402,Paediatric Neurosurgery,Child,0-15,18 Months +,7,28MH
31-01-2021,1402,Paediatric Neurosurgery,Child,16-64, 0-3 Months,5,28MH
31-01-2021,1402,Paediatric Neurosurgery,Child,16-64, 3-6 Months,4,33MH
31-01-2021,1503,Gynaecology,Child,0-15, 3-6 Months,46,4MH
31-01-2021,1503,Gynaecology,Child,0-15,12-15 Months,6,27MH
31-01-2021,1503,Gynaecology,Child,0-15,18 Months +,4,35MH
31-01-2021,1503,Gynaecology,Child,16-64, 0-3 Months,2,12MH
31-01-2021,1503,Gynaecology,Child,16-64, 6-9 Months,3,30MH
31-01-2021,1700,Ophthalmology,Child,0-15,18 Months +,1174,23MH
31-01-2021,1700,Ophthalmology,Child,16-64, 0-3 Months,10,17MH
31-01-2021,1700,Ophthalmology,Child,16-64,15-18 Months,1,3MH
31-01-2021,1802,Paed Orthopaedic,Child,0-15, 0-3 Months,468,35MH
31-01-2021,1802,Paed Orthopaedic,Child,0-15, 3-6 Months,429,32MH
31-01-2021,1802,Paed Orthopaedic,Child,16-64, 3-6 Months,22,7MH
31-01-2021,1802,Paed Orthopaedic,Child,16-64, 6-9 Months,12,7MH
31-01-2021,1802,Paed Orthopaedic,Child,16-64,12-15 Months,21,11MH
31-01-2021,1802,Paed Orthopaedic,Child,16-64,15-18 Months,27,5MH
31-01-2021,1900,Paediatrics,Child,0-15, 9-12 Months,136,11MH
31-01-2021,1900,Paediatrics,Child,16-64, 9-12 Months,8,23MH
31-01-2021,1902,Paed Cardiology,Child,0-15, 6-9 Months,258,16MH
31-01-2021,1902,Paed Cardiology,Child,0-15,15-18 Months,35,28MH
31-01-2021,1902,Paed Cardiology,Child,16-64, 3-6 Months,21,27MH
31-01-2021,1903,Paed Oncology,Child,0-15, 0-3 Months,1,23MH
31-01-2021,1903,Paed Oncology,Child,0-15, 3-6 Months,1,10MH
31-01-2021,1903,Paed Oncology,Child,0-15, 6-9 Months,3,8MH
31-01-2021,1905,Paed Endocrinology,Child,0-15, 0-3 Months,112,7MH
31-01-2021,1905,Paed Endocrinology,Child,0-15, 6-9 Months,42,34MH
31-01-2021,1905,Paed Endocrinology,Child,0-15,15-18 Months,41,21MH
31-01-2021,1906,Paed Gastro-Enterol,Child,0-15, 3-6 Months,103,31MH
31-01-2021,1906,Paed Gastro-Enterol,Child,0-15,15-18 Months,45,15MH
31-01-2021,1906,Paed Gastro-Enterol,Child,16-64, 9-12 Months,5,7MH
31-01-2021,1907,Paed Haematology,Child,0-15, 0-3 Months,48,10MH
31-01-2021,1907,Paed Haematology,Child,0-15, 3-6 Months,39,19MH
31-01-2021,1907,Paed Haematology,Child,0-15,12-15 Months,13,5MH
31-01-2021,1907,Paed Haematology,Child,16-64, 6-9 Months,3,11MH
31-01-2021,1907,Paed Haematology,Child,16-64,15-18 Months,1,23MH
31-01-2021,1909,Paediatric Infectious Diseases,Child,0-15, 0-3 Months,31,12MH
31-01-2021,1909,Paediatric Infectious Diseases,Child,0-15, 3-6 Months,18,1MH
31-01-2021,1909,Paediatric Infectious Diseases,Child,0-15, 6-9 Months,30,17MH
31-01-2021,1909,Paediatric Infectious Diseases,Child,0-15,12-15 Months,25,30MH
31-01-2021,1909,Paediatric Infectious Diseases,Child,0-15,15-18 Months,6,25MH
31-01-2021,1909,Paediatric Infectious Diseases,Child,16-64,12-15 Months,2,15MH
31-01-2021,1910,Paed Metabolic Medicine,Child,0-15, 9-12 Months,2,16MH
31-01-2021,1911,Paed Nephrology,Child,0-15, 0-3 Months,120,30MH
31-01-2021,1911,Paed Nephrology,Child,0-15, 3-6 Months,78,13MH
31-01-2021,601,Paediatric ENT,Child,0-15,18 Months +,1285,17MH
31-01-2021,601,Paediatric ENT,Child,16-64, 0-3 Months,6,15MH
31-01-2021,601,Paediatric ENT,Child,16-64, 3-6 Months,11,28MH
31-01-2021,601,Paediatric ENT,Child,16-64, 9-12 Months,13,36MH
31-01-2021,601,Paediatric ENT,Child,16-64,12-15 Months,37,36MH
31-01-2021,1302,Paediatric Neurology,Child,0-15, 0-3 Months,228,30MH
31-01-2021,1302,Paediatric Neurology,Child,0-15, 3-6 Months,74,20MH
31-01-2021,1302,Paediatric Neurology,Child,0-15, 6-9 Months,29,10MH
31-01-2021,1302,Paediatric Neurology,Child,0-15, 9-12 Months,25,22MH
31-01-2021,1302,Paediatric Neurology,Child,0-15,12-15 Months,27,25MH
31-01-2021,1302,Paediatric Neurology,Child,16-64,12-15 Months,3,16MH
31-01-2021,1402,Paediatric Neurosurgery,Child,16-64, 9-12 Months,1,13MH
31-01-2021,1503,Gynaecology,Child,0-15,15-18 Months,2,3MH
31-01-2021,1700,Ophthalmology,Child,0-15, 0-3 Months,436,22MH
31-01-2021,1700,Ophthalmology,Child,0-15, 3-6 Months,258,24MH
31-01-2021,1700,Ophthalmology,Child,0-15, 6-9 Months,121,17MH
31-01-2021,1700,Ophthalmology,Child,0-15, 9-12 Months,173,22MH
31-01-2021,1700,Ophthalmology,Child,0-15,12-15 Months,181,33MH
31-01-2021,1700,Ophthalmology,Child,16-64, 3-6 Months,2,18MH
31-01-2021,1700,Ophthalmology,Child,16-64, 6-9 Months,1,14MH
31-01-2021,1700,Ophthalmology,Child,16-64,12-15 Months,3,10MH
31-01-2021,1802,Paed Orthopaedic,Child,0-15, 6-9 Months,279,20MH
31-01-2021,1802,Paed Orthopaedic,Child,0-15,12-15 Months,281,22MH
31-01-2021,1900,Paediatrics,Child,0-15, 3-6 Months,553,17MH
31-01-2021,1900,Paediatrics,Child,0-15, 6-9 Months,298,15MH
31-01-2021,1900,Paediatrics,Child,0-15,12-15 Months,111,31MH
31-01-2021,1902,Paed Cardiology,Child,16-64,15-18 Months,9,35MH
31-01-2021,1904,Neonatology,Child,0-15, 6-9 Months,1,21MH
31-01-2021,1905,Paed Endocrinology,Child,0-15, 3-6 Months,85,2MH
31-01-2021,1905,Paed Endocrinology,Child,0-15,12-15 Months,53,27MH
31-01-2021,1905,Paed Endocrinology,Child,0-15,18 Months +,45,3MH
31-01-2021,1905,Paed Endocrinology,Child,16-64, 0-3 Months,8,26MH
31-01-2021,1905,Paed Endocrinology,Child,16-64, 3-6 Months,7,15MH
31-01-2021,1905,Paed Endocrinology,Child,16-64, 6-9 Months,2,11MH
31-01-2021,1905,Paed Endocrinology,Child,16-64, 9-12 Months,6,35MH
31-01-2021,1905,Paed Endocrinology,Child,16-64,12-15 Months,7,7MH
31-01-2021,1906,Paed Gastro-Enterol,Child,0-15, 0-3 Months,185,8MH
31-01-2021,1906,Paed Gastro-Enterol,Child,0-15, 6-9 Months,43,5MH
31-01-2021,1906,Paed Gastro-Enterol,Child,0-15, 9-12 Months,52,33MH
31-01-2021,1906,Paed Gastro-Enterol,Child,0-15,12-15 Months,43,27MH
31-01-2021,1906,Paed Gastro-Enterol,Child,0-15,18 Months +,321,3MH
31-01-2021,1906,Paed Gastro-Enterol,Child,16-64, 0-3 Months,4,12MH
31-01-2021,1906,Paed Gastro-Enterol,Child,16-64, 3-6 Months,7,36MH
31-01-2021,1906,Paed Gastro-Enterol,Child,16-64, 6-9 Months,1,6MH
31-01-2021,1906,Paed Gastro-Enterol,Child,16-64,12-15 Months,3,16MH
31-01-2021,1907,Paed Haematology,Child,0-15, 9-12 Months,32,31MH
31-01-2021,1907,Paed Haematology,Child,0-15,15-18 Months,4,15MH
31-01-2021,1907,Paed Haematology,Child,0-15,18 Months +,18,2MH
31-01-2021,1907,Paed Haematology,Child,16-64, 0-3 Months,2,29MH
31-01-2021,1907,Paed Haematology,Child,16-64, 3-6 Months,2,15MH
31-01-2021,1909,Paediatric Infectious Diseases,Child,0-15,18 Months +,6,34MH
31-01-2021,1909,Paediatric Infectious Diseases,Child,16-64, 9-12 Months,1,35MH
31-01-2021,2500,Rheumatology,Child,16-64, 3-6 Months,2,1MH
31-01-2021,2500,Rheumatology,Child,16-64, 6-9 Months,3,10MH
31-01-2021,2500,Rheumatology,Child,16-64,12-15 Months,7,8MH
31-01-2021,6700,Clinical (Medical) Genetics,Child,0-15, 0-3 Months,104,9MH
31-01-2021,6700,Clinical (Medical) Genetics,Child,0-15, 9-12 Months,89,13MH
31-01-2021,6700,Clinical (Medical) Genetics,Child,0-15,18 Months +,425,13MH
31-01-2021,6700,Clinical (Medical) Genetics,Child,16-64, 3-6 Months,39,25MH
31-01-2021,6700,Clinical (Medical) Genetics,Child,16-64, 6-9 Months,38,7MH
31-01-2021,6700,Clinical (Medical) Genetics,Child,16-64,12-15 Months,39,19MH
31-01-2021,7000,Dental Surgery,Child,16-64, 9-12 Months,3,30MH
31-01-2021,7000,Dental Surgery,Child,16-64,18 Months +,11,14MH
31-01-2021,7200,Paediatric Surgery,Child,16-64,15-18 Months,26,28MH
31-01-2021,7803,Paediatric Urology,Child,0-15, 0-3 Months,144,24MH
31-01-2021,7803,Paediatric Urology,Child,0-15, 3-6 Months,120,23MH
31-01-2021,7803,Paediatric Urology,Child,0-15, 6-9 Months,74,8MH
31-01-2021,7803,Paediatric Urology,Child,0-15, 9-12 Months,79,33MH
31-01-2021,7803,Paediatric Urology,Child,0-15,12-15 Months,105,17MH
31-01-2021,7803,Paediatric Urology,Child,16-64,12-15 Months,1,31MH
31-01-2021,7900,Clinical Immunology,Child,0-15, 0-3 Months,111,17MH
31-01-2021,7900,Clinical Immunology,Child,0-15, 9-12 Months,54,31MH
31-01-2021,7900,Clinical Immunology,Child,0-15,18 Months +,692,15MH
31-01-2021,7900,Clinical Immunology,Child,16-64, 3-6 Months,1,11MH
31-01-2021,7900,Clinical Immunology,Child,16-64,12-15 Months,2,33MH
31-01-2021,8004,Paediatric Anaesthetics,Child,0-15,18 Months +,34,13MH
31-01-2021,8004,Paediatric Anaesthetics,Child,16-64, 0-3 Months,3,9MH
31-01-2021,0,Small Volume Specialities,Adult,16-64, 0-3 Months,1,23MH
31-01-2021,100,Cardiology,Adult,16-64, 3-6 Months,71,24MH
31-01-2021,100,Cardiology,Adult,16-64, 6-9 Months,54,19MH
31-01-2021,100,Cardiology,Adult,16-64, 9-12 Months,75,11MH
31-01-2021,100,Cardiology,Adult,16-64,12-15 Months,88,25MH
31-01-2021,300,Dermatology,Adult,16-64, 3-6 Months,149,13MH
31-01-2021,300,Dermatology,Adult,16-64, 6-9 Months,80,20MH
31-01-2021,300,Dermatology,Adult,16-64,12-15 Months,82,1MH
31-01-2021,1100,Haematology,Adult,16-64, 0-3 Months,39,29MH
31-01-2021,1100,Haematology,Adult,16-64, 3-6 Months,31,23MH
31-01-2021,1100,Haematology,Adult,16-64, 9-12 Months,12,25MH
31-01-2021,1100,Haematology,Adult,16-64,12-15 Months,12,27MH
31-01-2021,1100,Haematology,Adult,65+, 6-9 Months,11,19MH
31-01-2021,1300,Neurology,Adult,16-64, 0-3 Months,19,1MH
31-01-2021,1300,Neurology,Adult,16-64, 9-12 Months,16,14MH
31-01-2021,1300,Neurology,Adult,65+, 6-9 Months,2,32MH
31-01-2021,1300,Neurology,Adult,65+,12-15 Months,3,13MH
31-01-2021,1800,Orthopaedics,Adult,65+, 0-3 Months,69,10MH
31-01-2021,1800,Orthopaedics,Adult,65+, 6-9 Months,60,30MH
31-01-2021,1800,Orthopaedics,Adult,65+, 9-12 Months,64,32MH
31-01-2021,1800,Orthopaedics,Adult,65+,18 Months +,175,10MH
31-01-2021,2500,Rheumatology,Adult,16-64,15-18 Months,23,20MH
31-01-2021,2500,Rheumatology,Adult,65+, 3-6 Months,17,22MH
31-01-2021,2500,Rheumatology,Adult,65+,12-15 Months,7,2MH
31-01-2021,2500,Rheumatology,Adult,65+,18 Months +,57,25MH
31-01-2021,2600,General Surgery,Adult,65+,15-18 Months,3,22MH
31-01-2021,5000,General Medicine,Adult,16-64, 9-12 Months,110,17MH
31-01-2021,2000,Plastic Surgery,Child,16-64, 3-6 Months,5,24MH
31-01-2021,2000,Plastic Surgery,Child,16-64,12-15 Months,15,26MH
31-01-2021,2102,Child/Adolescent Psychiatry,Child,0-15, 0-3 Months,23,26MH
31-01-2021,2102,Child/Adolescent Psychiatry,Child,16-64,12-15 Months,1,29MH
31-01-2021,2500,Rheumatology,Child,0-15, 3-6 Months,64,3MH
31-01-2021,2500,Rheumatology,Child,0-15, 6-9 Months,35,22MH
31-01-2021,2500,Rheumatology,Child,0-15,12-15 Months,50,2MH
31-01-2021,2500,Rheumatology,Child,0-15,15-18 Months,40,27MH
31-01-2021,2500,Rheumatology,Child,16-64, 9-12 Months,8,5MH
31-01-2021,2500,Rheumatology,Child,16-64,15-18 Months,13,6MH
31-01-2021,6200,Clinical Neurophysiology,Child,0-15, 0-3 Months,1,6MH
31-01-2021,6200,Clinical Neurophysiology,Child,0-15, 3-6 Months,2,27MH
31-01-2021,6200,Clinical Neurophysiology,Child,0-15, 6-9 Months,11,13MH
31-01-2021,6200,Clinical Neurophysiology,Child,0-15,12-15 Months,3,30MH
31-01-2021,6200,Clinical Neurophysiology,Child,16-64, 0-3 Months,2,7MH
31-01-2021,6200,Clinical Neurophysiology,Child,16-64, 3-6 Months,1,17MH
31-01-2021,6200,Clinical Neurophysiology,Child,16-64,12-15 Months,1,17MH
31-01-2021,6700,Clinical (Medical) Genetics,Child,0-15, 3-6 Months,107,32MH
31-01-2021,6700,Clinical (Medical) Genetics,Child,0-15, 6-9 Months,68,23MH
31-01-2021,6700,Clinical (Medical) Genetics,Child,0-15,12-15 Months,97,1MH
31-01-2021,6700,Clinical (Medical) Genetics,Child,16-64, 9-12 Months,47,13MH
31-01-2021,6700,Clinical (Medical) Genetics,Child,16-64,15-18 Months,36,16MH
31-01-2021,7000,Dental Surgery,Child,0-15, 9-12 Months,48,21MH
31-01-2021,7200,Paediatric Surgery,Child,0-15, 9-12 Months,295,15MH
31-01-2021,7200,Paediatric Surgery,Child,16-64,18 Months +,26,6MH
31-01-2021,7600,Cardio-Thoracic Surgery,Child,0-15, 0-3 Months,44,36MH
31-01-2021,7600,Cardio-Thoracic Surgery,Child,0-15,18 Months +,7,8MH
31-01-2021,7600,Cardio-Thoracic Surgery,Child,16-64, 0-3 Months,3,12MH
31-01-2021,7600,Cardio-Thoracic Surgery,Child,16-64, 3-6 Months,3,33MH
31-01-2021,7600,Cardio-Thoracic Surgery,Child,16-64, 6-9 Months,2,3MH
31-01-2021,7600,Cardio-Thoracic Surgery,Child,16-64,12-15 Months,1,13MH
31-01-2021,7803,Paediatric Urology,Child,0-15,18 Months +,244,8MH
31-01-2021,7803,Paediatric Urology,Child,16-64, 0-3 Months,2,19MH
31-01-2021,7803,Paediatric Urology,Child,16-64, 6-9 Months,1,34MH
31-01-2021,7803,Paediatric Urology,Child,16-64,15-18 Months,1,15MH
31-01-2021,7900,Clinical Immunology,Child,0-15, 3-6 Months,60,32MH
31-01-2021,7900,Clinical Immunology,Child,0-15, 6-9 Months,43,19MH
31-01-2021,7900,Clinical Immunology,Child,0-15,12-15 Months,84,13MH
31-01-2021,7900,Clinical Immunology,Child,16-64,15-18 Months,2,27MH
31-01-2021,8003,Pain Relief,Child,0-15, 9-12 Months,3,35MH
31-01-2021,8004,Paediatric Anaesthetics,Child,16-64,18 Months +,14,25MH
31-01-2021,8800,Immunology,Child,0-15, 9-12 Months,32,17MH
31-01-2021,8800,Immunology,Child,16-64, 9-12 Months,1,1MH
31-01-2021,0,Small Volume Specialities,Adult,65+, 0-3 Months,4,4MH
31-01-2021,100,Cardiology,Adult,65+,18 Months +,132,2MH
31-01-2021,300,Dermatology,Adult,16-64, 0-3 Months,161,13MH
31-01-2021,300,Dermatology,Adult,65+, 6-9 Months,48,4MH
31-01-2021,300,Dermatology,Adult,65+,12-15 Months,35,19MH
31-01-2021,300,Dermatology,Adult,65+,15-18 Months,28,5MH
31-01-2021,300,Dermatology,Child,0-15, 0-3 Months,1,32MH
31-01-2021,300,Dermatology,Child,0-15, 3-6 Months,2,8MH
31-01-2021,1911,Paed Nephrology,Child,0-15,12-15 Months,25,9MH
31-01-2021,1911,Paed Nephrology,Child,0-15,15-18 Months,31,24MH
31-01-2021,1911,Paed Nephrology,Child,16-64, 6-9 Months,2,16MH
31-01-2021,1912,Paediatric Respiratory Medicine,Child,16-64,18 Months +,41,11MH
31-01-2021,1915,Paediatric Dermatology,Child,0-15, 3-6 Months,352,30MH
31-01-2021,1915,Paediatric Dermatology,Child,0-15,12-15 Months,209,26MH
31-01-2021,1915,Paediatric Dermatology,Child,16-64, 9-12 Months,17,34MH
31-01-2021,1916,Developmental Paediatrics,Child,0-15, 0-3 Months,57,14MH
31-01-2021,1916,Developmental Paediatrics,Child,0-15, 3-6 Months,49,21MH
31-01-2021,1916,Developmental Paediatrics,Child,0-15,12-15 Months,38,26MH
31-01-2021,1916,Developmental Paediatrics,Child,16-64,15-18 Months,2,12MH
31-01-2021,2000,Plastic Surgery,Child,0-15, 9-12 Months,117,20MH
31-01-2021,2000,Plastic Surgery,Child,0-15,15-18 Months,99,26MH
31-01-2021,2000,Plastic Surgery,Child,16-64, 9-12 Months,7,36MH
31-01-2021,2102,Child/Adolescent Psychiatry,Child,0-15, 9-12 Months,2,32MH
31-01-2021,2500,Rheumatology,Child,16-64,18 Months +,137,30MH
31-01-2021,6200,Clinical Neurophysiology,Child,0-15, 9-12 Months,10,14MH
31-01-2021,6700,Clinical (Medical) Genetics,Child,16-64, 0-3 Months,36,9MH
31-01-2021,6700,Clinical (Medical) Genetics,Child,16-64,18 Months +,151,12MH
31-01-2021,6700,Clinical (Medical) Genetics,Child,65+, 3-6 Months,2,23MH
31-01-2021,6700,Clinical (Medical) Genetics,Child,65+,12-15 Months,2,5MH
31-01-2021,6700,Clinical (Medical) Genetics,Child,65+,15-18 Months,3,24MH
31-01-2021,7000,Dental Surgery,Child,0-15, 0-3 Months,46,13MH
31-01-2021,7000,Dental Surgery,Child,0-15, 6-9 Months,29,12MH
31-01-2021,7000,Dental Surgery,Child,0-15,15-18 Months,39,4MH
31-01-2021,7000,Dental Surgery,Child,0-15,18 Months +,101,17MH
31-01-2021,7000,Dental Surgery,Child,16-64, 3-6 Months,2,34MH
31-01-2021,7000,Dental Surgery,Child,16-64,12-15 Months,8,15MH
31-01-2021,7200,Paediatric Surgery,Child,0-15, 0-3 Months,720,35MH
31-01-2021,7200,Paediatric Surgery,Child,0-15, 3-6 Months,594,12MH
31-01-2021,7200,Paediatric Surgery,Child,0-15, 6-9 Months,381,16MH
31-01-2021,7200,Paediatric Surgery,Child,0-15,12-15 Months,232,31MH
31-01-2021,7200,Paediatric Surgery,Child,0-15,15-18 Months,215,20MH
31-01-2021,7200,Paediatric Surgery,Child,16-64, 6-9 Months,11,13MH
31-01-2021,7600,Cardio-Thoracic Surgery,Child,0-15, 9-12 Months,10,13MH
